商品CD,呼び径1,呼び径2,呼び径3,年号,倉庫部門CD,年月度,現在庫_完成品数,現在庫_出荷予定数,最終更新日,最終更新時刻
asdfasd
FSPZA000     ,  75, 200,   ,2022,2,00000000,0,0,20241213,010302
FFCER000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010214
FFCE2000     ,  75,    ,   ,2023,1,00000000,0,0,20241213,010210
1RG  000     , 100,    ,   ,2023,1,00000000,0,0,20241213,010047
G22E 000     , 150,    ,   ,2023,1,00000000,0,1,20241213,010314
G22E 000     , 150,    ,   ,2023,11,00000000,0,0,20241213,010314
1RG  000     , 100,    ,   ,2022,11,00000000,0,0,20241213,010047
3UT  000     , M16, 100,   ,2022,11,00000000,0,0,20241213,010102
G90E 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010319
GZPE 000     , 150, 450,   ,2023,2,00000000,1,0,20241213,010354
T90E 000     , 150,    ,   ,2023,2,00000000,0,0,20241213,010757
KKTD 000     , 500, 500,   ,2022,1,00000000,0,0,20241213,010517
GGTD 000     , 150, 150,   ,2023,1,00000000,0,0,20241213,010333
G11D 000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010310
GSPD 000     , 300,    ,   ,2023,1,00000000,0,0,20241213,010348
KFTDR000     , 150, 100,   ,2022,2,00000000,0,0,20241213,010436
GGAD 919     , 200, 150,   ,2023,1,00000000,0,0,20241213,010328
G22E 000     , 200,    ,   ,2023,1,00000000,0,0,20241213,010314
GGTE 000     , 200, 100,   ,2023,1,00000000,0,0,20241213,010334
GZPE 000     , 200, 450,   ,2023,1,00000000,0,0,20241213,010355
KJRE 000     , 200,    ,   ,2023,1,00000000,1,1,20241213,010454
DEHJJLR000   ,  75,    ,   ,2023,1,00000000,0,0,20241213,010127
DEAA TR000   ,  75, 150,   ,2023,1,00000000,35,3,20241213,010122
FSPER000     ,  75, 400,   ,2023,1,00000000,1,1,20241213,010246
ZPFER000     ,  75,  50,   ,2023,1,00000000,0,0,20241213,010821
